,dteday,holiday,weekday,weathersit,temp,hum,windspeed,cnt,season
0,2011-01-01,0,Saturday,2,14.110847,80.58330000000001,10.749882,985,winter
1,2011-01-02,0,Sunday,2,14.902598000000001,69.6087,16.652113,801,winter
2,2011-01-03,0,Monday,1,8.050924,43.7273,16.636703,1349,winter
3,2011-01-04,0,Tuesday,1,8.200000000000001,59.0435,10.739832,1562,winter
4,2011-01-05,0,Wednesday,1,9.305237,43.695699999999995,12.522300000000001,1600,winter
5,2011-01-06,0,Thursday,1,8.378268,51.8261,6.0008684,1606,winter
6,2011-01-07,0,Friday,2,8.057402,49.8696,11.304642,1510,winter
7,2011-01-08,0,Saturday,2,6.765000000000001,53.5833,17.875868,959,winter
8,2011-01-09,0,Sunday,1,5.671653,43.416700000000006,24.25065,822,winter
9,2011-01-10,0,Monday,1,6.184153,48.2917,14.958889,1321,winter
10,2011-01-11,0,Tuesday,2,6.9327309999999995,68.6364,8.182844000000001,1263,winter
11,2011-01-12,0,Wednesday,1,7.0818069999999995,59.954499999999996,20.410009,1162,winter
12,2011-01-13,0,Thursday,1,6.765000000000001,47.0417,20.166999999999998,1406,winter
13,2011-01-14,0,Friday,1,6.59567,53.7826,8.478716,1421,winter
14,2011-01-15,0,Saturday,2,9.566653,49.875,10.583521,1248,winter
15,2011-01-16,0,Sunday,1,9.498347,48.375,12.625010999999999,1204,winter
16,2011-01-17,1,Monday,2,7.209153,53.75,12.999139,1000,winter
17,2011-01-18,0,Tuesday,2,8.883347,86.16669999999999,9.833924999999999,683,winter
18,2011-01-19,0,Wednesday,2,11.979134,74.1739,13.957239,1650,winter
19,2011-01-20,0,Thursday,2,10.728347,53.833299999999994,13.125568,1927,winter
20,2011-01-21,0,Friday,1,7.2775,45.7083,23.667214,1543,winter
21,2011-01-22,0,Saturday,1,2.4243464,40.0,11.52199,981,winter
22,2011-01-23,0,Sunday,1,3.9573897000000002,43.6522,16.5222,986,winter
23,2011-01-24,0,Monday,1,3.9930433,49.173899999999996,10.60811,1416,winter
24,2011-01-25,0,Tuesday,2,9.162598000000001,61.695699999999995,8.696332,1985,winter
25,2011-01-26,0,Wednesday,3,8.9175,86.25,19.68795,506,winter
26,2011-01-27,0,Thursday,1,7.995,68.75,7.627078999999999,431,winter
27,2011-01-28,0,Friday,2,8.342597999999999,79.30430000000001,8.2611,1167,winter
28,2011-01-29,0,Saturday,1,8.057402,65.17389999999999,9.739455,1098,winter
29,2011-01-30,0,Sunday,1,8.877402,72.2174,4.956834199999999,1096,winter
30,2011-01-31,0,Monday,2,7.414153,60.375,12.541864,1501,winter
31,2011-02-01,0,Tuesday,2,7.8791340000000005,82.9565,3.565271,1360,winter
32,2011-02-02,0,Wednesday,2,10.66,77.5417,17.708636,1526,winter
33,2011-02-03,0,Thursday,1,7.665237,43.7826,18.609384,1550,winter
34,2011-02-04,0,Friday,2,8.663464,58.521699999999996,8.565213,1708,winter
35,2011-02-05,0,Saturday,2,9.566653,92.91669999999999,10.792293,1005,winter
36,2011-02-06,0,Sunday,1,11.719153,56.833299999999994,9.5006,1623,winter
37,2011-02-07,0,Monday,1,11.138347,73.83330000000001,3.0423561,1712,winter
38,2011-02-08,0,Tuesday,1,9.054153,53.7917,24.25065,1530,winter
39,2011-02-09,0,Wednesday,2,5.526102999999999,49.4783,12.652213,1605,winter
40,2011-02-10,0,Thursday,1,5.918268,43.7391,14.869645,1538,winter
